respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.081313163,0.278112531
26708,0.045902905,0.045787527
26709,0.520386658,0.591809775
26710,0.502107588,0.885592003
26711,0.223689215,0.470780324
26712,0.431335474,0.915185723
26713,0.316458513,0.581717344
26714,0.146319636,0.226625349
26715,0.039110883,0.15430014
26716,0.237856884,0.898488747
26717,0.012925854,0.303562405
26718,0.267735275,0.544781209
26719,0.09241853,0.92218717
26720,0.074068513,0.196822505
26721,0.370695731,0.312967268
26722,0.064767219,0.069535315
26723,0.651228605,0.858820667
26724,0.125383548,0.656729615
26725,0.023413622,0.074442196
26726,0.014346123,0.033149339
26727,0.356368048,0.857928352
26728,0.179439046,0.585495111
26729,0.450246366,0.906886813
26730,0.040483021,0.200419733
26731,0.02038667,0.374755017
26732,0.081384509,0.069546802
26733,0.916334997,0.957196548
26734,0.879228898,0.382740501
26735,0.133443783,0.455563979
26736,0.074061544,0.172623139
26737,0.090906598,0.121264153
26738,0.627627839,0.839925737
26739,0.094322381,0.265182138
26740,0.131630803,0.127878661
26741,0.229647668,0.904082703
26742,0.109639054,0.405425466
26743,0.055916015,0.578307508
26744,0.076688212,0.665994818
26745,0.104643561,0.941339929
26746,0.116459051,0.375200255
26747,0.089923579,0.220042875
26748,0.104688914,0.055758046
26749,0.076997221,0.679035575
26750,0.671613798,0.935895979
26751,0.286534155,0.718565871
26752,0.024718841,0.020341613
26753,0.212510266,0.699953149
26754,0.140854728,0.648496777
26755,0.084315561,0.370595318
26756,0.016006654,0.033428831
26757,0.416110291,0.573344605
26758,0.686398271,0.881525562
26759,0.033403996,0.21064133
26760,0.011670974,0.029357413
26761,0.185175385,0.643907838
26762,0.13777918,0.83459905
26763,0.901759633,0.974098681
26764,0.939275808,0.966797874
26765,0.031469373,0.697985426
26766,0.121851304,0.170131275
26767,0.796425977,0.769947246
26768,0.01213784,0.429646216
26769,0.122040965,0.155172739
26770,0.10575796,0.595706173
26771,0.067155924,0.271730958
26772,0.078123788,0.432716054
26773,0.016397275,0.485806501
26774,0.030964431,0.552599195
26775,0.079260287,0.480837391
26776,0.377591813,0.343086224
26777,0.093005062,0.934398128
26778,0.145551384,0.124204884
26779,0.109797232,0.512615539
26780,0.130108978,0.963457468
26781,0.043451769,0.504830854
26782,0.05071744,0.292402337
26783,0.062324416,0.3258219
26784,0.407332975,0.89229401
26785,0.322426716,0.580833928
26786,0.098383428,0.28397955
26787,0.103850041,0.505691564
26788,0.116472489,0.903322245
26789,0.013709892,0.246853168
26790,0.05934785,0.299747276
26791,0.085857844,0.134780682
26792,0.195932347,0.751017757
26793,0.131483022,0.903015232
26794,0.76211367,0.891977481
26795,0.047243068,0.950159646
26796,0.056172105,0.066803039
26797,0.09989825,0.63723273
26798,0.188857731,0.169940151
26799,0.227811569,0.217311628
26800,0.035093245,0.922206158
26801,0.238251212,0.364678678
26802,0.071620147,0.17128125
26803,0.06045127,0.177168598
26804,0.081670425,0.138048732
26805,0.090243712,0.217311202
26806,0.082278109,0.924146222
26807,0.70338204,0.962147629
26808,0.259580433,0.60657837
26809,0.740237236,0.153534906
26810,0.030541413,0.08930691
26811,0.043955451,0.059343354
26812,0.183726356,0.665907535
26813,0.314655804,0.341303254
26814,0.037024956,0.51346584
26815,0.052234136,0.109510187
26816,0.059230253,0.227128676
26817,0.171098813,0.784951865
26818,0.067892324,0.248960252
26819,0.387507098,0.448395875
26820,0.084047968,0.283411931
26821,0.090076295,0.616794388
26822,0.301584643,0.66773472
26823,0.515418643,0.632494292
26824,0.038855855,0.709082071
26825,0.365071244,0.753609635
26826,0.088742691,0.761227678
26827,0.044108588,0.090206431
26828,0.164142855,0.709322058
26829,0.622521941,0.935053844
26830,0.085105865,0.781389175
26831,0.233618233,0.862246914
26832,0.149778624,0.848421312
26833,0.004744264,0.255042159
26834,0.095066428,0.380979384
26835,0.394041808,0.900381
26836,0.191410794,0.675750329
26837,0.028730517,0.009842118
26838,0.106304348,0.508237267
26839,0.146537927,0.552957544
26840,0.083277554,0.111323522
26841,0.316237216,0.769264091
26842,0.05536931,0.174963435
26843,0.033805425,0.01485882
26844,0.069106442,0.465503549
26845,0.043343038,0.668744241
26846,0.075806084,0.760053441
26847,0.349024115,0.102684785
26848,0.049346237,0.700781008
26849,0.121879222,0.562881117
26850,0.557836017,0.723578587
26851,0.038083441,0.069479679
26852,0.029285714,0.076902886
26853,0.547473062,0.603383999
26854,0.01668481,0.081759162
26855,0.581130924,0.860345118
26856,0.105451219,0.030388679
26857,0.400021516,0.170645208
26858,0.123141258,0.619417145
26859,0.063186287,0.10231433
26860,0.118949719,0.107081234
26861,0.090439625,0.077868123
26862,0.091614442,0.265150223
26863,0.217595682,0.467072127
26864,0.493329526,0.380775579
26865,0.011536881,0.037132631
26866,0.240987351,0.696113205
26867,0.122940336,0.18801572
26868,0.790812049,0.954488961
26869,0.103607068,0.298137156
26870,0.589716725,0.84880957
26871,0.034348895,0.042470741
26872,0.063278665,0.342488307
26873,0.135677325,0.849280763
26874,0.039703805,0.095458603
26875,0.722467552,0.953548172
26876,0.041662838,0.046881858
26877,0.045987747,0.123743052
26878,0.153285233,0.18853809
26879,0.009980642,0.016848173
26880,0.036290016,0.07712722
26881,0.029392651,0.079071641
26882,0.020785092,0.080283539
26883,0.058994395,0.238932357
26884,0.083656631,0.219887279
26885,0.214561488,0.817142826
26886,0.101449422,0.770298215
26887,0.63254137,0.895582183
26888,0.889569607,0.951981259
26889,0.034294297,0.130986487
26890,0.095838655,0.372568676
26891,0.301933369,0.552060174
26892,0.135811035,0.860880155
26893,0.054800492,0.165063264
26894,0.229790039,0.336382089
26895,0.081922609,0.859507784
26896,0.047621974,0.062357521
26897,0.056814052,0.363598195
26898,0.253403216,0.714172898
26899,0.037897099,0.052845361
26900,0.124744405,0.274930306
26901,0.007456293,0.226695424
26902,0.276732026,0.951049364
26903,0.131060929,0.036038679
26904,0.044534689,0.325830421
26905,0.372636324,0.810829094
26906,0.072355442,0.361843579
26907,0.010171389,0.589148852
26908,0.138585056,0.756700936
26909,0.070917352,0.246923436
26910,0.117472665,0.221107129
26911,0.046497056,0.070771441
26912,0.465522555,0.949896888
26913,0.792853801,0.904809053
26914,0.064259407,0.160799407
26915,0.141515101,0.707853061
26916,0.066862743,0.379378971
26917,0.00492531,0.010292154
26918,0.725514884,0.91827227
26919,0.298179113,0.62705879
26920,0.020573167,0.129283124
26921,0.139358538,0.872422732
26922,0.061341026,0.687633115
26923,0.098948472,0.551069245
26924,0.639901698,0.886527904
26925,0.074739893,0.568515689
26926,0.59570452,0.466280976
26927,0.378639636,0.701240561
26928,0.052082051,0.504528641
26929,0.10611623,0.209842219
26930,0.667590424,0.884067613
26931,0.096405129,0.365937847
26932,0.064973438,0.884207983
26933,0.078359603,0.721781767
26934,0.551295998,0.688213351
26935,0.161452106,0.45862689
26936,0.474112516,0.206888938
26937,0.300028689,0.778540225
26938,0.085567786,0.063978218
26939,0.039080324,0.051154439
26940,0.075400817,0.119768828
26941,0.056204223,0.45761231
26942,0.571560583,0.771357106
26943,0.144520911,0.639126586
26944,0.076294284,0.162496126
26945,0.132695587,0.612949765
26946,0.138321471,0.713043238
26947,0.155150964,0.633761874
26948,0.018046046,0.05357038
26949,0.019804343,0.043372186
26950,0.033238086,0.499498456
26951,0.073397781,0.324988839
26952,0.848789811,0.951006616
26953,0.768211555,0.975961934
26954,0.04573258,0.153894902
26955,0.166691598,0.603853957
26956,0.119018752,0.283108096
26957,0.03222805,0.906598558
26958,0.32349507,0.76530029
26959,0.03264021,0.224095673
26960,0.040234417,0.06117705
26961,0.211227513,0.577788304
26962,0.176948853,0.925204591
26963,0.144034704,0.272443617
26964,0.066152523,0.192313663
26965,0.817040032,0.943921098
26966,0.012540826,0.027273075
26967,0.165186383,0.49060827
26968,0.044005621,0.838021345
26969,0.038337738,0.201219755
26970,0.677715278,0.346001364
26971,0.130499623,0.345745308
26972,0.008324103,0.0245703
26973,0.061652452,0.149362243
26974,0.089435169,0.300223796
26975,0.078904152,0.657710327
26976,0.851935608,0.600152256
26977,0.055133762,0.324299444
26978,0.017987282,0.780450178
26979,0.316453224,0.631531966
26980,0.053499139,0.084980585
26981,0.061526367,0.279418425
26982,0.701633109,0.861445403
26983,0.182858736,0.665661978
26984,0.072398443,0.154939391
26985,0.018726333,0.080548309
26986,0.203287638,0.626477705
26987,0.065075782,0.18005347
26988,0.02217844,0.111537549
26989,0.350275384,0.759575855
26990,0.016118315,0.070421988
26991,0.250720602,0.507631773
26992,0.264537482,0.391061161
26993,0.142152538,0.848197958
26994,0.216591921,0.464759645
26995,0.169533945,0.469849556
26996,0.293103471,0.273706112
26997,0.015792305,0.053425362
26998,0.044042957,0.04724806
26999,0.444263611,0.57159549
27000,0.129354521,0.392695863
27001,0.043592403,0.788739819
27002,0.008858053,0.217868623
27003,0.021617463,0.052889095
27004,0.095827612,0.285999195
27005,0.353439606,0.779840435
27006,0.761394417,0.91502149
27007,0.06600439,0.170698087
27008,0.043018384,0.057006963
27009,0.069092878,0.265881447
27010,0.065229463,0.125211898
27011,0.085551434,0.117505874
27012,0.32125541,0.600444166
27013,0.127556456,0.450060656
27014,0.023577163,0.172429601
27015,0.085502332,0.232809636
27016,0.169009803,0.353225834
27017,0.411323275,0.697597275
27018,0.085872778,0.312912009
27019,0.892079347,0.963737796
27020,0.205430931,0.251611195
27021,0.142208789,0.513108726
27022,0.120445726,0.229897144
27023,0.144228023,0.152412031
27024,0.113964808,0.285072016
27025,0.049394483,0.019964288
27026,0.079430511,0.267548764
27027,0.098934489,0.776863168
27028,0.391522575,0.889835069
27029,0.092375444,0.358211402
27030,0.163692584,0.223566418
27031,0.206597266,0.810540888
27032,0.207589109,0.473150717
27033,0.303194965,0.733437509
27034,0.008295468,0.62419565
27035,0.184483758,0.386552514
27036,0.214449488,0.728626362
27037,0.616520555,0.802349226
27038,0.029077056,0.027398024
27039,0.750026715,0.936218653
27040,0.187701762,0.156529554
27041,0.132246342,0.558597851
27042,0.072312578,0.549100232
27043,0.585369431,0.822529045
27044,0.008918774,0.033415208
27045,0.169640237,0.591765576
27046,0.045481698,0.106580534
27047,0.560400537,0.439789394
27048,0.139772586,0.343162984
27049,0.312099689,0.910213517
27050,0.050515914,0.584320734
27051,0.133340605,0.286731899
27052,0.096992114,0.235182626
27053,0.880033452,0.966217668
27054,0.036893969,0.063948808
27055,0.135406221,0.849416217
27056,0.023209232,0.033718843
27057,0.024647838,0.030060123
27058,0.851723653,0.927213766
27059,0.06361198,0.217909931
27060,0.031340086,0.457162435
27061,0.104338946,0.380260367
27062,0.070660765,0.498097867
27063,0.078401323,0.56194931
27064,0.234858574,0.498713578
27065,0.062440857,0.35101913
27066,0.050532883,0.591303684
27067,0.41400644,0.715537943
27068,0.872793651,0.950881345
27069,0.589103996,0.951850895
27070,0.047655527,0.051649947
27071,0.047996768,0.071419161
27072,0.089208035,0.713486642
27073,0.028094031,0.852359422
27074,0.048591118,0.286095752
27075,0.728015599,0.861895904
27076,0.637726747,0.782890368
27077,0.034298477,0.092521789
27078,0.322009784,0.862892841
27079,0.31031582,0.945025253
27080,0.07872045,0.255940691
27081,0.021707568,0.6986193
27082,0.23279843,0.438622772
27083,0.056480054,0.253730261
27084,0.85930377,0.696306399
27085,0.048599575,0.013154176
27086,0.050682899,0.094826812
27087,0.18827119,0.300356541
27088,0.203037826,0.74328172
27089,0.145594212,0.21550696
27090,0.250236389,0.618558231
27091,0.462091305,0.167262394
27092,0.097648282,0.275513
27093,0.204794264,0.276429965
27094,0.008882831,0.039677538
27095,0.077923503,0.547902767
27096,0.022852385,0.232425329
27097,0.575078433,0.768179686
27098,0.520136451,0.767236649
27099,0.159762097,0.47746778
27100,0.062435071,0.756324769
27101,0.08190924,0.684126004
27102,0.08912037,0.831727785
27103,0.022674727,0.040474652
27104,0.340717034,0.53924477
27105,0.066098119,0.407693048
27106,0.650529575,0.902511461
27107,0.428305714,0.696630696
27108,0.101035921,0.29256606
27109,0.073879432,0.205948604
27110,0.102639203,0.390716438
27111,0.04153617,0.412011561
27112,0.198217249,0.603306593
27113,0.068624295,0.276487911
27114,0.085972362,0.238312426
27115,0.539780947,0.859170962
27116,0.197890802,0.921866272
27117,0.06872808,0.116871018
27118,0.163755136,0.599145592
27119,0.068979061,0.349822856
27120,0.344864948,0.984853694
27121,0.014852542,0.69533258
27122,0.049843056,0.258878948
27123,0.056633217,0.107878062
27124,0.035770094,0.063911475
27125,0.034204034,0.055026854
27126,0.335011528,0.059585931
27127,0.097615172,0.09324606
27128,0.196096689,0.657191514
27129,0.589112568,0.612610498
27130,0.099348869,0.202628614
27131,0.032821927,0.061864835
27132,0.532339839,0.934292248
27133,0.095252452,0.601060528
27134,0.627700874,0.926275711
27135,0.228805185,0.577754968
27136,0.083959731,0.562279906
27137,0.066435784,0.212917282
27138,0.192427016,0.569151386
27139,0.08611817,0.082209081
27140,0.917909858,0.962436167
27141,0.600393457,0.801677355
27142,0.06143438,0.272156637
27143,0.286097306,0.519640438
27144,0.050770412,0.047118986
27145,0.440548774,0.633421306
27146,0.038059484,0.924327919
27147,0.069735733,0.235760044
27148,0.215402394,0.192061472
27149,0.288329465,0.169502433
27150,0.705619926,0.968797893
27151,0.123047877,0.7564498
27152,0.024534524,0.211344985
27153,0.217589265,0.83553129
27154,0.690723309,0.86973464
27155,0.163950661,0.683378078
27156,0.018756925,0.383988794
27157,0.011786475,0.460835915
27158,0.078281516,0.419851973
27159,0.044997606,0.169900949
27160,0.228368665,0.212075528
27161,0.324956608,0.550703832
27162,0.171199279,0.946880327
27163,0.600473954,0.449344383
27164,0.182763849,0.116977808
27165,0.467335374,0.598225449
27166,0.088984463,0.177903539
27167,0.150655767,0.519545515
27168,0.140348658,0.707549941
27169,0.461006342,0.688975499
27170,0.403180915,0.844601268
